id,key,value,node_id,is_synced
1281,database/version,67,0,1
1303,lock/plmnId,,0,1
1305,lock/roaming,true,0,1
1306,SIM_SLOT_NAME,SLOT2,0,1
1312,location/interval,1000,0,1
1313,location/smallestDisplacement,10.0,0,1
1314,location/nodeType,mobile,0,1
1315,location/historySize,1,0,1
1316,location/enableGps,true,0,1
1317,location/latitude,48.858,0,1
1318,location/longitude,2.2946,0,1
1319,location/altitude,0.0,0,1
1320,lock/subType,1,0,1
1321,lock/tech,AUTO,0,1
1322,lock/band,,0,1
1323,lock/arfcn,0,0,1
1324,service/enableCpLog,true,0,1
1325,service/enableStateName,false,0,1
1326,service/enableStateDetail,true,0,1
1327,service/enableMessage,true,0,1
1328,service/enableSIBMessage,true,0,1
1329,service/enablePagingMessage,false,0,1
1330,service/enableMeasurementMessage,true,0,1
1331,service/simSlot,SLOT2,0,1
1332,service/simAPN,mcinet,0,1
1333,service/enableTest,true,0,1
1334,sync/ip,capellaserver.pestelecom.ir,0,1
1335,sync/port,38899,0,1
1336,sync/statusPeriod,10000,0,1
1337,sync/syncPeriod,12000,0,1
1338,weather/updateInterval,600000,0,1
1342,modem/address,192.168.1.1,0,1
1343,modem/username,admin,0,1
1344,modem/password,admin,0,1
