count,timestamp,sourceId,arfcn,locationTimestamp,psc,plmnId,rscp,ecn0
7,73566287785754624,3,3046,,,,-664.2857142857143,-54.285714285714285
10,73566285635281922,5,3046,,354.0,,-697.0,-117.0
10,73566285635281922,4,3046,,472.0,,-647.0,-69.0
13,73566416856875008,3,10813,,,,-769.2307692307693,-113.84615384615384
4,73566416233698462,5,10813,,155.0,,-837.5,-208.75
22,73566416233698462,4,10813,,225.0,,-800.0,-169.77272727272728
10,73566416287783941,5,10813,,354.0,,-797.0,-168.5
22,73566416375736493,5,10813,,472.0,,-774.5454545454545,-137.04545454545453
11,73566389266481152,3,10838,,,,-738.1818181818181,-100.9090909090909
1,73566356819323993,5,10838,,225.0,,-810.0,-140.0
11,73566388991771662,4,10838,,472.0,,-725.4545454545455,-113.63636363636364
