count,timestamp,sourceId,arfcn,locationTimestamp,pci,plmnId,rsrp,rsrq,rssi
5,73566393060425728,3,450,,,,-876.0,-70.0,-622.0
1,73566270692668674,2,450,,93.0,,-1030.0,-210.0,
5,73566393326819018,2,450,,95.0,,-1068.0,-278.0,-720.0
2,73566303935357834,2,450,,281.0,,-1040.0,-210.0,-710.0
3,73566373584136104,2,450,,347.0,,-1063.3333333333333,-286.6666666666667,-690.0
7,73566394761086014,2,450,,406.0,,-1042.857142857143,-257.14285714285717,-688.0
1,73566301130072454,2,450,,407.0,,-1010.0,-170.0,-730.0
6,73566303972744092,2,450,,414.0,,-1071.6666666666667,-243.33333333333334,-710.0
2,73566256133623719,2,450,,458.0,,-1100.0,-300.0,-700.0
9,73566393100247295,2,450,,460.0,,-1001.1111111111111,-226.66666666666666,-680.0
10,73566303186117465,2,450,,463.0,,-1019.0,-259.0,-660.0
16,73566420649462324,2,450,,489.0,,-855.0,-81.875,-666.875
10,73566413468863673,2,450,,490.0,,-967.0,-163.0,-686.0
4,73566411989892338,2,450,,491.0,,-1060.0,-282.5,-675.0
13,73566420075479040,3,1423,,,,-850.7692307692307,-113.84615384615384,-527.6923076923077
4,73566415081702202,2,1423,,59.0,,-980.0,-272.5,-620.0
2,73566329483034705,2,1423,,95.0,,-1005.0,-300.0,-610.0
2,73566276200652212,2,1423,,124.0,,-1020.0,-300.0,-630.0
5,73566420972170849,2,1423,,148.0,,-932.0,-232.0,-610.0
4,73566314651718736,2,1423,,254.0,,-1000.0,-300.0,-610.0
1,73566413132538784,2,1423,,347.0,,-980.0,-300.0,-590.0
14,73566419910486199,2,1423,,406.0,,-995.0,-293.57142857142856,-611.6666666666666
2,73566355318601522,2,1423,,407.0,,-1010.0,-300.0,-620.0
19,73566419863942382,2,1423,,460.0,,-990.0,-286.8421052631579,-615.7142857142857
21,73566420712949327,1,1423,,489.0,,-843.3333333333334,-110.47619047619048,-555.2380952380952
17,73566419922811569,2,1423,,490.0,,-971.7647058823529,-243.52941176470588,-607.0
3,73566420972170849,2,1423,,496.0,,-996.6666666666666,-300.0,-610.0
11,73566392572837888,3,3102,,,,-976.3636363636364,-142.72727272727272,-621.8181818181819
17,73566419610907593,2,3102,,95.0,,-1087.0588235294117,-259.4117647058824,-741.4285714285714
2,73566372726504730,2,3102,,170.0,,-1115.0,-260.0,-740.0
2,73566372726504730,2,3102,,281.0,,-1125.0,-260.0,-750.0
2,73566360653974547,2,3102,,385.0,,-1105.0,-290.0,-720.0
15,73566415802872222,2,3102,,460.0,,-1088.6666666666667,-259.3333333333333,-738.5714285714286
19,73566420713571382,2,3102,,489.0,,-961.0526315789474,-131.57894736842104,-685.7894736842105
14,73566420713571382,2,3102,,490.0,,-1045.0,-200.71428571428572,-736.6666666666666
1,73566258214731776,3,3300,,,,-990.0,-140.0,-650.0
2,73566413657606651,2,3300,,95.0,,-1105.0,-240.0,-765.0
1,73566257596763225,2,3300,,281.0,,-1060.0,-170.0,-800.0
9,73566420795158688,2,3300,,406.0,,-1068.888888888889,-223.33333333333334,-750.0
11,73566420759506463,2,3300,,460.0,,-1089.090909090909,-232.72727272727272,-753.6363636363636
14,73566420759506463,2,3300,,489.0,,-969.2857142857143,-126.42857142857143,-744.2857142857143
13,73566420759506463,2,3300,,490.0,,-993.0769230769231,-140.76923076923077,-745.3846153846154
