number,RSRP,RSSI,RSRQ,SNR,CINR,MOS
0,-100,-74.0,-199.0,12.762570504157006,10.097028941237086,4.0022555759677765
1,-97,-67.0,-154.0,16.509811780118824,13.382264771097566,3.9575738200712265
2,-91,-60.0,-167.07855575265947,17.658595852155653,14.177794666066108,4.011303182772747
3,-103,-59.0,-175.0,16.772214046540064,13.42001426653137,3.735515196829508
4,-114,-87.0,-251.90040710359642,8.051353923616944,5.350529154653187,3.0919957619772167
5,-93,-71.0,-153.0,15.141504350456664,11.221046315452393,4.103253045094312
6,-98,-80.0,-199.0,9.435822251954034,7.316135593030761,4.106669823404734
7,-98,-63.0,-137.0,14.291165040928613,10.596028190434804,3.935011950983788
8,-85,-65.0,-96.09104511891375,15.091750228476066,11.31293519907517,4.345557170996552
9,-101,-77.0,-205.0,10.220312208757692,8.009243615572501,3.822430291826468
10,-112,-70.0,-231.0,9.433836972975016,6.781553917576913,3.4772699296329823
11,-99,-70.00665036315992,-251.0,11.680071826677093,9.151977603365202,3.6527966997362658
12,-103,-68.85885178272302,-211.0,9.79017651503651,6.9036615798428445,3.851482982675369
13,-88,-59.0,-143.0,16.137195742940474,12.743884619151842,3.9379826363751422
14,-90,-64.0,-165.4750228027626,14.652585195680468,11.465946314428656,4.311340009562772
15,-108,-81.25095019092394,-170.6883926629435,10.53189333670116,7.74257128603931,3.256465551511161
16,-103,-65.0,-128.0,13.674872832047374,10.356592897904669,3.63147218432842
17,-112,-78.0,-165.13890043308464,8.59683547201052,5.192276381492549,3.531102162104553
18,-114,-72.0,-168.5989712953723,11.839819411385308,10.372964942745554,3.138174009327938
19,-101,-62.0,-166.5952314733291,12.577979414146288,9.62114058001454,3.5872010301779023
20,-86,-59.0,-88.0,20.5008958885175,17.81885579903853,4.353680209944655
21,-106,-83.80182071177161,-182.0,9.378587868066418,7.013746317720546,3.2395036368075747
22,-112,-81.60585594666398,-271.0,6.29888382043173,4.605510368286536,3.304839572495523
23,-99,-80.0,-173.50102479881997,10.775047084616949,9.332051980597932,3.9114405245604025
24,-95,-72.0,-169.92617963002914,16.971348161069045,13.587404186834316,3.9663581507081647
25,-93,-72.0,-110.0,13.651551302737735,10.201932537825847,3.865605409732924
26,-102,-72.0,-202.0,10.67749591760273,8.218063775044365,3.4876086941787654
27,-92,-68.0,-171.87432408443547,16.155274347858235,12.23973828645974,4.197369288816466
28,-104,-79.0,-233.0,13.112673558253224,10.231315030264394,3.768973213787725
29,-88,-53.0,-80.0,20.70035584819244,16.26776756531063,4.133853591032419
30,-96,-59.839564521752116,-119.0,17.82854126305676,13.84626822775172,3.785899598602493
31,-91,-68.0,-115.0,14.772395164450996,10.877438379614032,3.747790429975221
32,-113,-77.0,-164.69494927151428,9.299934053987982,6.39440087222606,3.4613803888455115
33,-90,-58.02655290765421,-119.0,16.999428651399874,13.310979734221892,4.021072936852601
34,-103,-63.0,-147.0,12.436116515441725,9.198852936714726,3.640459968232552
35,-86,-60.0,-126.0,16.618043301128978,13.059871483925614,4.15439117396736
36,-112,-72.0,-192.0,9.707588536182335,5.67483509207567,3.2438534492251647
37,-98,-68.0,-105.0,15.082425409603731,11.817512920254712,3.8878497907533545
38,-104,-82.0,-238.0,13.323148341684817,10.55893636392526,3.569714839439741
39,-91,-64.0,-109.0,15.192691937262335,12.035512577571952,4.54816247884209
40,-96,-63.0,-95.60996447014003,16.984853723618745,13.095608455996068,4.17748074966505
41,-90,-63.0,-148.0,17.112557670585623,14.229335681204727,3.9239182091569975
42,-91,-63.0,-168.33613022115222,14.133226862468463,10.458018196334814,4.118599519402691
43,-92,-61.0,-163.61662407730805,14.653240456475272,10.781280440824222,4.0150871385389735
44,-87,-65.0,-174.11166571920558,15.832646504160271,12.292144474662742,4.368173188816047
45,-89,-58.717394390455766,-106.0,16.751186221922932,13.164053556760786,3.8661606931501336
46,-86,-69.36456929758307,-110.0,14.839756091919616,11.173438635083588,4.158425673156638
47,-94,-72.0,-107.0,15.602737349064135,12.034821188327268,3.887376942013765
48,-100,-69.87414844719518,-114.0,13.70798147678281,10.43599471683726,3.870667849538241
49,-113,-79.0,-241.0,12.548520203295546,9.94483747981836,3.321231555832425
50,-95,-72.0,-185.29811459278858,17.69043918131484,13.63447841250973,4.128539554508097
51,-98,-71.0,-175.0,14.324079372012129,10.586354707167745,4.19563975051459
52,-82,-59.0,-77.0,19.32538548295965,15.506670367254706,4.170658555213047
53,-110,-75.0,-248.0,7.974940149125178,6.394597025658648,3.447026195507144
54,-103,-58.29902657855773,-181.9382820546045,14.772609445355346,10.480326328958071,3.6533613041205086
55,-112,-70.0,-241.0,9.474912205826808,6.568765596276039,2.9783317947294154
56,-94,-65.0,-138.0,14.751054932216803,10.766188325516886,4.159908654829546
57,-102,-71.0,-104.0,17.75193480755108,13.701731504468915,3.8387533279471415
58,-98,-79.0,-248.0,10.405041280877787,8.271123907788544,3.7355261864581486
59,-109,-72.0,-170.0917197723134,8.989472438851003,5.898802429766691,3.343240307124485
60,-85,-72.48776135219913,-171.0636414327269,16.05965990186538,12.937530742984478,4.182832138751859
61,-86,-68.02892593313724,-93.44519868882344,13.575548434452916,10.613712228572362,4.518372787622188
62,-105,-77.0,-220.0,13.027474267287426,8.405273784537915,3.811765221839949
63,-114,-80.26848843721697,-230.0,10.136785417817716,7.333818350939186,3.367817529577311
64,-110,-72.0,-222.0,12.011595126533912,9.318370139410622,3.5105351384838164
65,-113,-80.479894238392,-267.0,5.634571201279792,3.998364457236404,2.968464808727473
66,-88,-61.0,-107.0,17.454083861421132,13.431867631403955,4.468370070805185
67,-100,-67.0,-174.3914850068299,12.945843442407167,9.682701253176058,3.698319416915917
68,-84,-58.676564056155996,-80.0,24.18947070512713,22.09480350862872,4.544967223192294
69,-88,-66.0,-119.0,11.59639059908237,8.995596760324032,3.906165952399828
70,-87,-60.0,-137.0,16.192971178021672,12.518116001585833,4.27863493501473
71,-97,-57.10353444545283,-109.0,13.6671367017814,10.44254962020114,4.308221855621149
72,-95,-71.0,-162.81251615355106,18.174024413931885,14.541767584897396,4.002832467677236
73,-116,-84.0,-287.0,5.082961150634264,3.487669239767001,3.2307951264376555
74,-95,-72.9480111693854,-162.77080230567358,15.26233358349982,11.534410744621786,3.7878645481834097
75,-100,-57.34399116857469,-158.7319210625187,14.817095379704543,10.986167837849203,3.893632271088857
76,-91,-65.0,-112.0,14.185775556219621,9.580462502175264,3.9563167893926616
77,-92,-68.0,-153.0,14.833654879067728,10.842573088066167,3.86180590440481
78,-114,-80.0,-239.0,9.449527442723344,6.308946750185551,3.205726000348839
79,-110,-80.0,-215.0,7.621616792120678,5.830085008938223,3.962242559111393
80,-98,-80.0,-162.27461074389387,11.938655736435315,8.951945783596303,3.8677230001741583
81,-87,-52.0,-103.1244243213686,21.8711672302348,17.418267676356614,3.79046558464463
82,-85,-51.0,-78.0,24.320602644445444,21.593476248813896,3.982666847932874
83,-90,-71.45674182483796,-160.2417344407865,11.830927074640087,8.850371552647307,3.875767797875789
84,-99,-64.0,-173.01583489045652,13.284393264901274,9.244667820448411,3.860825612925765
